"BOROUGH","NEIGHBORHOOD","BUILDING.CLASS.CATEGORY","TAX.CLASS.AT.PRESENT","BLOCK","LOT","EASE.MENT","BUILDING.CLASS.AT.PRESENT","ADDRESS","APARTMENT.NUMBER","ZIP.CODE","RESIDENTIAL.UNITS","COMMERCIAL.UNITS","TOTAL.UNITS","LAND.SQUARE.FEET","GROSS.SQUARE.FEET","YEAR.BUILT","TAX.CLASS.AT.TIME.OF.SALE","BUILDING.CLASS.AT.TIME.OF.SALE","SALE.PRICE","SALE.DATE"
4,"ARVERNE                  ","01  ONE FAMILY DWELLINGS                    ","1",15837,17,,"A6","334 BEACH 46 STREET                      ","            ",11691,1,0,1,3804,745,1925,1,"A6",289000,"2016-01-19"
4,"ARVERNE                  ","01  ONE FAMILY DWELLINGS                    ","1",15837,17,,"A6","334 BEACH 46 STREET                      ","            ",11691,1,0,1,3804,745,1925,1,"A6",69000,"2015-05-21"
4,"ARVERNE                  ","01  ONE FAMILY DWELLINGS                    ","1",15838,11,,"A6","334 BEACH 47 STREET                      ","            ",11691,1,0,1,1902,720,1920,1,"A6",57000,"2015-08-14"
4,"ARVERNE                  ","01  ONE FAMILY DWELLINGS                    ","1",15908,28,,"A2","311 BEACH 63RD STREET                    ","            ",11692,1,0,1,4200,975,1940,1,"A2",310000,"2015-10-02"
4,"ARVERNE                  ","01  ONE FAMILY DWELLINGS                    ","1",15962,48,,"A6","593 BEACH 43RD STREET                    ","            ",11691,1,0,1,1824,528,1920,1,"A6",229164,"2016-04-13"
4,"ARVERNE                  ","01  ONE FAMILY DWELLINGS                    ","1",15962,50,,"A6","589 BEACH 43 STREET                      ","            ",11691,1,0,1,2557,528,1920,1,"A6",30500,"2015-10-12"
4,"ARVERNE                  ","01  ONE FAMILY DWELLINGS                    ","1",15963,46,,"A6","44-02 NORTON AVENUE                      ","            ",11691,1,0,1,1275,595,1925,1,"A6",183700,"2015-12-01"
4,"ARVERNE                  ","01  ONE FAMILY DWELLINGS                    ","1",15965,27,,"A6","448 BEACH 44 STREET                      ","            ",11691,1,0,1,1735,846,1899,1,"A6",70980,"2015-09-25"
4,"ARVERNE                  ","01  ONE FAMILY DWELLINGS                    ","1",15965,110,,"A2","417 BEACH 43 STREET                      ","            ",11691,1,0,1,2907,720,1910,1,"A2",140000,"2015-10-16"
4,"ARVERNE                  ","01  ONE FAMILY DWELLINGS                    ","1",15965,110,,"A2","417 BEACH 43 STREET                      ","            ",11691,1,0,1,2907,720,1910,1,"A2",80000,"2015-06-08"
4,"ARVERNE                  ","01  ONE FAMILY DWELLINGS                    ","1",15966,14,,"A6","462 BEACH 45 STREET                      ","            ",11691,1,0,1,1825,525,1905,1,"A6",149000,"2015-10-13"
4,"ARVERNE                  ","01  ONE FAMILY DWELLINGS                    ","1",15968,3,,"A6","378 BEACH 46 STREET                      ","            ",11691,1,0,1,3804,950,1920,1,"A6",150000,"2015-08-07"
4,"ARVERNE                  ","01  ONE FAMILY DWELLINGS                    ","1",15969,13,,"A6","426 BEACH 47 STREET                      ","            ",11691,1,0,1,2252,480,1940,1,"A6",91260,"2015-09-30"
4,"ARVERNE                  ","01  ONE FAMILY DWELLINGS                    ","1",15969,46,,"A6","471 BEACH 46TH STREET                    ","            ",11691,1,0,1,2473,540,1940,1,"A6",169000,"2015-08-18"
4,"ARVERNE                  ","01  ONE FAMILY DWELLINGS                    ","1",15969,55,,"A2","447 BEACH 46 STREET                      ","            ",11691,1,0,1,2300,900,1940,1,"A2",297000,"2015-12-02"
4,"ARVERNE                  ","01  ONE FAMILY DWELLINGS                    ","1",16040,1,,"A2","408 BEACH 67 STREET                      ","            ",11692,1,0,1,4000,702,1910,1,"A2",300000,"2015-06-10"
4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",15965,107,,"B9","425 BEACH 43 STREET                      ","            ",11691,2,0,2,3133,476,1910,1,"B9",145000,"2015-08-15"
4,"ASTORIA                  ","01  ONE FAMILY DWELLINGS                    ","1",728,145,,"A5","30-17 46TH STREET                        ","            ",11103,1,0,1,1650,764,1901,1,"A5",230000,"2016-02-22"
4,"ASTORIA                  ","01  ONE FAMILY DWELLINGS                    ","1",806,57,,"A5","22-60 38TH   STREET                      ","            ",11105,1,0,1,1242,793,1910,1,"A5",797000,"2016-01-07"
4,"ASTORIA                  ","01  ONE FAMILY DWELLINGS                    ","1",849,14,,"A5","20-71 28TH STREET                        ","            ",11105,1,0,1,1600,960,1945,1,"A5",724994,"2016-01-04"
4,"ASTORIA                  ","01  ONE FAMILY DWELLINGS                    ","1",849,37,,"A5","20-27 28TH STREET                        ","            ",11105,1,0,1,1600,960,1945,1,"A5",712500,"2015-06-08"
4,"ASTORIA                  ","01  ONE FAMILY DWELLINGS                    ","1",859,79,,"A5","20-66 28TH   STREET                      ","            ",11105,1,0,1,1600,960,1945,1,"A5",749000,"2015-06-24"
4,"ASTORIA                  ","41  TAX CLASS 4 - OTHER                     ","4",812,27,,"Z9","19-35 37TH   STREET                      ","            ",11105,0,1,1,10001,300,1931,4,"Z9",575000,"2015-06-11"
4,"BAYSIDE                  ","01  ONE FAMILY DWELLINGS                    ","1",5544,13,,"A5","20218 45TH AVE.                          ","            ",11361,1,0,1,2000,800,1970,1,"A5",580000,"2016-01-21"
