BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE, SALE PRICE ,SALE DATE
4,AIRPORT JFK              ,31  COMMERCIAL VACANT LAND                  ,4,14260,70, ,V1,181-25 EASTERN ROAD                      ,            ,11430,0,0,0,223027,0,0,4,V1," $7,800,000 ",1/14/2016
4,AIRPORT LA GUARDIA       ,01  ONE FAMILY DWELLINGS                    ,1,976,13, ,A5,21-16 81ST   STREET                      ,            ,11370,1,0,1,1800,1224,1950,1,A5," $620,000 ",10/6/2015
4,AIRPORT LA GUARDIA       ,03  THREE FAMILY DWELLINGS                  ,1,949,51, ,C0,19-79 80TH STREET                        ,            ,11370,3,0,3,2000,2635,1945,1,C0, $-   ,6/26/2015
4,AIRPORT LA GUARDIA       ,03  THREE FAMILY DWELLINGS                  ,1,949,52, ,C0,19-77 80TH STREET                        ,            ,11370,3,0,3,2000,2835,1945,1,C0, $-   ,8/13/2015
4,AIRPORT LA GUARDIA       ,03  THREE FAMILY DWELLINGS                  ,1,976,38, ,C0,21-66 81ST STREET                        ,            ,11370,3,0,3,2100,2016,1950,1,C0, $-   ,12/15/2015
4,AIRPORT LA GUARDIA       ,39  TRANSPORTATION FACILITIES               ,4,926,1, ,T1,83-00 23RD   AVENUE                      ,            ,11370,0,4,4,29305534,2949024,1933,4,T1, $-   ,7/22/2015
4,ARVERNE                  ,01  ONE FAMILY DWELLINGS                    ,1,15828,53, ,A1,303 BEACH 38TH STREET                    ,            ,11691,1,0,1,3810,1200,2002,1,A1," $273,710 ",2/29/2016
4,ARVERNE                  ,01  ONE FAMILY DWELLINGS                    ,1,15830,42, ,A2,341 BEACH 40TH STREET                    ,            ,11691,1,0,1,1766,1521,1920,1,A2, $-   ,2/8/2016
4,ARVERNE                  ,01  ONE FAMILY DWELLINGS                    ,1,15837,17, ,A6,334 BEACH 46 STREET                      ,            ,11691,1,0,1,3804,745,1925,1,A6," $289,000 ",1/19/2016
4,ARVERNE                  ,01  ONE FAMILY DWELLINGS                    ,1,15837,17, ,A6,334 BEACH 46 STREET                      ,            ,11691,1,0,1,3804,745,1925,1,A6," $69,000 ",5/21/2015
4,ARVERNE                  ,01  ONE FAMILY DWELLINGS                    ,1,15838,11, ,A6,334 BEACH 47 STREET                      ,            ,11691,1,0,1,1902,720,1920,1,A6," $57,000 ",8/14/2015
4,ARVERNE                  ,01  ONE FAMILY DWELLINGS                    ,1,15905,16, ,A5,64-14 BEACH FRONT ROAD                   ,            ,11692,1,0,1,3542,3084,2014,1,A5," $941,881 ",9/30/2015
4,ARVERNE                  ,01  ONE FAMILY DWELLINGS                    ,1,15905,30, ,A5,62-13 OCEAN AVENUE SOUTH                 ,            ,11692,1,0,1,3959,2515,2014,1,A5," $824,782 ",8/18/2015
4,ARVERNE                  ,01  ONE FAMILY DWELLINGS                    ,1,15905,47, ,A5,123 BEACH 62 STREET                      ,            ,11692,1,0,1,4414,2626,2014,1,A5," $728,048 ",10/29/2015
4,ARVERNE                  ,01  ONE FAMILY DWELLINGS                    ,1,15905,91, ,A5,151 COMPASS PLACE                        ,            ,11692,1,0,1,3665,2515,2014,1,A5," $661,862 ",6/24/2015
4,ARVERNE                  ,01  ONE FAMILY DWELLINGS                    ,1,15905,185, ,A5,63-07 OCEAN AVENUE NORTH                 ,            ,11692,1,0,1,3045,2515,2014,1,A5," $692,410 ",9/17/2015
4,ARVERNE                  ,01  ONE FAMILY DWELLINGS                    ,1,15905,307, ,A5,66-14 BEACH FRONT ROAD                   ,            ,11692,1,0,1,3542,3084,2014,1,A5," $1,120,075 ",3/2/2016
